"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,015077123394260159;0,0011029937566616834;0;0;0,012778853957271163;0;0,000369313;0;0,015077123394260159
2, Jan;0,013349967601495387;0,0010718070454411692;0;0,00595671119111957;0;0;0;0;0,013349967601495387
3, Jan;0,007830924802012258;0,0006031875873540903;0;0,003993726137912635;0,00025315766597723034;0;0;0;0,007830924802012258
4, Jan;0,006992119215267561;0,0006563867970462486;0;0,00029435953794619736;0;0;0;0;0,006992119215267561
5, Jan;0,013059355995871803;0,00157857895929576;0;0;0;0;0;0;0,013059355995871803
6, Jan;0,008721743827258354;0,0006986907421252428;0;0,0005906050081376905;0;0;0;0;0,008721743827258354
7, Jan;0,009026991856562626;0,0007573351973579044;0;0;0;0;0,000128;0;0,009026991856562626
8, Jan;0,013745038540332348;0,0012443366246822076;0;0,0064847293870273605;0;0;0;0;0,013745038540332348
9, Jan;0,009700390167566604;0,0009556986165769173;0;0,009380324062330898;0,00006525342259959225;0;0;0;0,009700390167566604
10, Jan;0,01880825133550735;0,0016402618967609488;0;0;0;0;0;0;0,01880825133550735
11, Jan;0,00409573084348208;0,0006370915349943814;0;0;0;0;0;0;0,00409573084348208
12, Jan;0,006943163933692041;0,0005609482139736026;0;0;0;0;0,000148612;0;0,006943163933692041
13, Jan;0,006061020351591564;0,000439061037389747;0;0;0;0;0;0;0,006061020351591564
14, Jan;0,003959161120575744;0,00023434304700785386;0;0;0;0;0;0;0,003959161120575744
15, Jan;0,004125621927765025;0,00034606885729414046;0;0;0;0;0,002238455;0;0,004125621927765025
16, Jan;0,003154671553409461;0,0001828719527174384;0;0;0,0006433329282900988;0,000760351;0;0;0,003154671553409461
17, Jan;0,0019197374969333798;0,00011083783654423503;0;0;0;0,000364712;0;0;0,0019197374969333798
18, Jan;0,005841190164739435;0,0004041715166269443;0;0;0;0;0;0;0,005841190164739435
19, Jan;0,00025524989222035265;0,000014113737028334048;0;0;0;0;0;0;0,00025524989222035265
20, Jan;0,0003652451035780308;0,000018262255985241433;0;0;0;0;0;0;0,0003652451035780308
21, Jan;0,010500226702008928;0,0008626498959281228;0;0;0,000020859678360548887;0,002400757;0,0000446951;0;0,010500226702008928
22, Jan;0,007251984629280123;0,0006885286662485692;0;0;0,00013871403870644507;0,0000937073;0,001693703;0;0,007251984629280123
23, Jan;0,011386411014573399;0,0007180236763768381;0;0;0;0,000682617;0,010517758;0;0,011386411014573399
24, Jan;0,0029140205094308562;0,00016793315157745823;0;0;0,00019085523370024446;0;0,000447113;0;0,0029140205094308562
25, Jan;0,012483592673297569;0,0012066132062441342;0;0,00002226320970239061;0,006125324732297426;0;0,000013888;0;0,012483592673297569
26, Jan;0,01942981786026067;0,0014766129580411043;0;0;0,00007066900692718885;0;0;0;0,01942981786026067
27, Jan;0,014466445683400869;0,0008440440222298428;0;0;0;0;0;0;0,014466445683400869
28, Jan;0,012102077533672382;0,0006540349938652732;0;0;0;0;0;0;0,012102077533672382
29, Jan;0,0067904176134051695;0,00039935486141221346;0;0;0;0,000757476;0,000109516;0;0,0067904176134051695
30, Jan;0,002440457478230134;0,00012202287552418647;0;0;0;0;0;0;0,002440457478230134
31, Jan;0,015096984384379862;0,0009945713596426562;0;0;0,002135949217395865;0,005121629;0;0;0,015096984384379862
32, Feb;0,05855145805325859;0,00397151940828794;0;0;0,01300561066829797;0,000267755;0;0;0,05855145805325859
33, Feb;0,10555555500509418;0,008214107323518563;0;0;0;0;0;0;0,10555555500509418
34, Feb;0,03765179687764222;0,001951304478046698;0;0,038074712216596064;0;0;0,002464282;0;0,03765179687764222
35, Feb;0,004355718563129375;0,00021992488340897992;0;0;0;0;0;0;0,004355718563129375
36, Feb;0,08731759471810742;0,005886061883075929;0;0,0009730456969438693;0;0,063226596;0;0;0,08731759471810742
37, Feb;0,12329283214750744;0,009745458503822227;0;0,006422828802298674;0;0,064502449;0;0;0,12329283214750744
38, Feb;0,08328407254569974;0,004711773488428685;0;0;0;0,032447821;0;0;0,08328407254569974
39, Feb;0,10941919103845374;0,007685767623769256;0;0;0;0;0;0;0,10941919103845374
40, Feb;0,09973900865166735;0,007229911300527069;0;0;0;0;0;0;0,09973900865166735
41, Feb;0,11490447799880783;0,009508656216906263;0;0;0;0;0;0;0,11490447799880783
42, Feb;0,06586869144852543;0,0038080530249195183;0;0;0;0;0;0;0,06586869144852543
43, Feb;0,14169697947316356;0,010284703531306543;0;0;0;0;0;0;0,14169697947316356
44, Feb;0,08121507818048651;0,004820261166725324;0;0,04813091063396239;0;0;0;0;0,08121507818048651
45, Feb;0,10326705040869774;0,008191915817591018;0;0;0;0;0;0;0,10326705040869774
46, Feb;0,10933548237854268;0,009217378897068305;0;0,025686307386918503;0;0;0,0031476;0;0,10933548237854268
47, Feb;0,08074528417545995;0,004392437088541138;0;0,02641761251342245;0;0;0,007120131;0;0,08074528417545995
48, Feb;0,04465724069834787;0,002456509189688282;0;0;0,016812079912656312;0;0,020383664;0;0,04465724069834787
49, Feb;0,04263413004028849;0,0027311666187269865;0;0;0,023016132833637716;0;0;0;0,04263413004028849
50, Feb;0,055233336114264155;0,0030321620759509857;0;0;0;0;0;0;0,055233336114264155
51, Feb;0,15401864980722402;0,01322177065399302;0;0;0;0;0,012106719;0;0,15401864980722402
52, Feb;0,08449712150540703;0,005314308327513856;0;0;0;0;0,00182476;0;0,08449712150540703
53, Feb;0,0011997767341085327;0,000059988841543465984;0;0;0;0;0;0;0,0011997767341085327
54, Feb;0,009366296586536225;0,0004683148551296878;0;0;0;0;0;0;0,009366296586536225
55, Feb;0,03727310560482405;0,0018933808906769856;0;0;0;0;0,036916117;0;0,03727310560482405
56, Feb;0;0;0;0;0;0;0;0;0
57, Feb;0;0;0;0;0;0;0;0;0
58, Feb;0,029594832168513045;0,001560929146679965;0;0;0;0;0;0;0,029594832168513045
59, Feb;0;0;0;0;0;0;0;0;0
60, Mar;0,006579346471018605;0,00040025783307624585;0;0;0;0;0;0;0,006579346471018605
61, Mar;0,004509034610929943;0,00022545171441969934;0;0;0;0;0;0;0,004509034610929943
62, Mar;0,003309301741711505;0,000165465074184137;0;0,000006883483767122417;0;0;0;0;0,003309301741711505
63, Mar;0,0016946369435364033;0,00008473184072610104;0;0;0,0002914028185786623;0;0;0;0,0016946369435364033
64, Mar;0,0036855164544406906;0,0002384733779605849;0;0;0,0001786515052184398;0;0;0;0,0036855164544406906
65, Mar;0,0012885137295826172;0,00008447845647861431;0;0,00012136818397612799;0,0003077188159996297;0;0;0;0,0012885137295826172
66, Mar;0,003115343325065844;0,00023213775578515355;0;0,0007360053784919508;0;0;0;0;0,003115343325065844
67, Mar;0,00033539985165451514;0,00001699166791715147;0;0,0000031888799931354078;0;0;0;0;0,00033539985165451514
68, Mar;0,0023324760523709383;0,00015437622348983567;0;0;0;0;0,00088556;0;0,0023324760523709383
69, Mar;0,00004243472937768672;0,0000021806600588289173;0;0;0,00004243472937768672;0;7,03252e-7;0;0,00004243472937768672
70, Mar;0;0;0;0;0;0;0;0;0
